file, mof, mps
markshare2, 2718, 2179
ns1208400, 280456, 258129
cryptanalysiskb128n5obj16, 2449428, 1765584
lectsched-5-obj, 1314607, 1029612
mas76, 7294, 9186
highschool1-aigio, 12878364, 7464764
seymour, 123082, 142768
30n20b8, 646867, 523719
cmflsp50-24-8-8, 887107, 852638
binkar10_1, 51135, 30533
neos-4647030-tutaki, 12563519, 10340987
mad, 14829, 16882
gmu-35-50, 66782, 68420
s100, 20695552, 11354025
uct-subprob, 78101, 74931
glass4, 11299, 12661
icir97_tension, 90784, 106088
supportcase22, 11915216, 7906114
bnatt500, 168542, 154193
neos-3988577-wolgan, 1750089, 1331706
neos-5093327-huahum, 3182682, 2654598
bppc4-08, 73984, 77423
blp-ar98, 1200159, 1006691
roi5alpha10n8, 20997334, 18877110
reblock115, 106018, 98516
supportcase12, 28840892, 13212147
neos-950242, 580449, 521081
peg-solitaire-a3, 175750, 188324
comp07-2idx, 758390, 537855
neos-3216931-puriri, 376963, 361129
sct2, 154468, 122939
nursesched-sprint02, 794258, 888719
proteindesign122trx11p8, 3486634, 2158150
lotsize, 71680, 48803
cryptanalysiskb128n5obj14, 2449410, 1765615
map16715-04, 6015228, 4059102
buildingenergy, 6720242, 4483468
rail507, 2414428, 1857299
cod105, 151929, 200503
beasleyC3, 53344, 35144
neos8, 1354951, 1291940
chromaticindex512-7, 1323660, 1073824
mcsched, 53288, 45841
cost266-UUE, 133963, 103586
neos859080, 5528, 6320
rd-rplusc-21, 4595298, 3957712
satellites2-40, 1422025, 1166802
neos-4722843-widden, 2541965, 1761006
roi2alpha3n4, 7334526, 7054282
k1mushroom, 3414700, 4664966
mik-250-20-75-4, 42709, 45471
nexp-150-20-8-5, 460940, 257609
neos-2075418-temuka, , 23443590
ran14x18-disj-8, 67235, 58880
leo1, 567085, 499587
s250r10, 12781024, 9010683
neos-5104907-jarama, 16565606, 10470856
bab2, 10126929, 8231597
rail01, 2885838, 2030414
ns1952667, 1516009, 1077480
supportcase33, 1161761, 1179208
supportcase7, 14148249, 8836933
tr12-30, 26263, 19895
swath1, 221624, 183404
square47, , 81570680
neos-3402294-bobin, 9501731, 8835384
neos-933966, 1121730, 1008832
neos-1445765, 349396, 217931
neos-4338804-snowy, 40004, 37835
fiball, 755320, 475984
opm2-z10-s4, 2379869, 2054440
irp, 672351, 505962
neos-3402454-bohle, , 40228951
pg5_34, 71881, 46778
neos-3656078-kumeu, 495048, 381769
triptim1, 2488912, 1944089
mc11, 65595, 40584
csched008, 41936, 30990
graphdraw-domain, 16078, 18092
nu25-pr12, 153682, 115033
neos5, 3685, 5686
neos-2657525-crna, 17634, 12286
savsched1, 13636939, 10320747
var-smallemery-m6j6, 3240953, 3069394
b1c1s1, 108337, 72442
uccase9, 2142829, 1914738
neos-960392, 1250367, 849084
fhnw-binpack4-48, 109707, 101816
neos-3083819-nubu, 278734, 156714
bab6, 6663753, 5396522
map10, 6015228, 4059095
n9-3, 210534, 141409
fast0507, 2208048, 1282725
timtab1, 8884, 7077
drayage-100-23, 324799, 250746
neos-3004026-krka, 362582, 292209
gmu-35-40, 41078, 42251
neos-873061, 4279712, 2817318
tbfp-network, 2352325, 894096
traininstance6, 330035, 261304
dws008-01, 398405, 362618
sp150x300d, 12781, 8719
decomp2, 429027, 346146
neos-2746589-doon, 1975449, 1460084
neos-848589, 13076417, 6360152
wachplan, 290030, 332043
neos-3381206-awhea, 54142, 23793
germanrr, 860989, 750472
sp97ar, 1302000, 1258683
n2seq36q, 1058866, 828356
leo2, 973284, 837528
neos-5052403-cygnet, 15282596, 14440631
neos-3754480-nidda, 13811, 11954
neos-5114902-kasavu, 35186826, 21617326
ic97_potential, 26970, 26260
mushroom-best, 420681, 746435
unitcal_7, 1116545, 781676
gfd-schedulen180f7d50m30k18, 11676105, 7284293
traininstance2, 422371, 329354
neos-4954672-berkel, 49402, 42946
swath3, 221514, 183422
rail02, 6461648, 4244101
neos-957323, 2481614, 1950076
enlight_hard, 4864, 3872
CMS750_4, 398572, 333059
fastxgemm-n2r6s0t2, 93907, 112266
bnatt400, 132640, 125909
ns1116954, 2371755, 2199181
neos-4738912-atrato, 188180, 112252
graph20-20-1rand, 132243, 171179
uccase12, 3871168, 2932050
50v-10, 46957, 37959
co-100, 7439544, 7287957
drayage-25-23, 324808, 250750
rococoC11-011100, 189103, 170569
brazil3, 989446, 671862
rmatr100-p10, 198085, 153825
neos-4532248-waihi, 3639541, 3067547
ex9, 2114517, 2447472
physiciansched3-3, 6677501, 5255220
assign1-5-8, 10002, 12566
csched007, 47308, 34830
mzzv11, 554016, 476395
neos-3555904-turama, 4503952, 4000934
glass-sc, 148310, 244253
cbs-cta, 568280, 455701
neos-4387871-tavua, 142087, 119012
cvs16r128-89, 100856, 84844
eilA101-2, 5122069, 3221783
neos-1171448, 521705, 568026
supportcase18, 237202, 139221
neos-4413714-turia, 7026009, 4388361
neos-4763324-toguru, 3407233, 2926380
neos-787933, 3475416, 1521295
neos-1582420, 261772, 180792
p200x1188c, 51811, 36690
netdiversion, 4566280, 3523559
neos-3754224-navua, 5557077, 4252348
nw04, 3655171, 1875816
rococoB10-011000, 117339, 102783
supportcase26, 16645, 16561
supportcase40, 921076, 799627
neos-4300652-rahue, 1463093, 1098496
istanbul-no-cutoff, 509586, 398498
blp-ic98, 1116246, 944213
neos17, 27656, 76383
radiationm40-10-02, 5214416, 3321729
rocII-5-11, 1233609, 1376352
neos-3046615-murg, 8560, 8706
neos-860300, 922825, 994991
ns1760995, 10159373, 8844497
ns1830653, 336057, 339657
n3div36, 2079619, 1546075
dano3_5, 401374, 267647
piperout-08, 409008, 333612
sp98ar, 1822630, 1744913
proteindesign121hz512p9, 4395259, 2697139
hypothyroid-k1, 1123367, 1272773
pg, 62343, 40207
neos-1171737, 194071, 218965
app1-2, 1501887, 1394169
splice1k1, 4417691, 4957833
atlanta-ip, 2097592, 1459587
neos-2978193-inde, 477528, 290433
neos-5188808-nattai, 790497, 602163
supportcase10, 3605931, 2771990
mzzv42z, 628936, 517017
neos-631710, 5866118, 4433560
sing326, 2039505, 1530805
comp21-2idx, 484733, 359953
exp-1-500-5-5, 23149, 19201
satellites2-60-fs, 876356, 626369
supportcase6, 5670612, 4280118
fhnw-binpack4-4, 14192, 14138
chromaticindex1024-7, 2739409, 2229056
sing44, 2188821, 1608025
roll3000, 100002, 103405
seymour1, 123362, 143198
nursesched-medium-hint03, 2594858, 2832596
neos-5195221-niemur, 1088991, 877067
neos-827175, 821486, 590523
neos-1122047, 1234769, 1103323
pk1, 4281, 4005
momentum1, 847135, 725301
neos-1354092, 734709, 521771
ns1644855, 6597876, 5427468
radiationm18-12-05, 1157339, 787112
net12, 517319, 456877
neos-1456979, 219420, 198207
markshare_4_0, 1095, 797
neos-3627168-kasai, 40479, 29391
toll-like, 97283, 91044
rocI-4-11, 279292, 212318
n5-3, 70812, 47192
academictimetablesmall, 1485850, 1246366
neos-5075914-elvire, 112412, 79586
neos-5049753-cuanza, 11287701, 7265612
trento1, 481439, 432430
sorrell3, 1970828, 2757231
snp-02-004-104, 7064884, 3682882
neos-5107597-kakapo, 122369, 118273
h80x6320d, 333899, 201388
gen-ip054, 5934, 5884
square41, , 41163139
physiciansched6-2, 4274662, 2941739
irish-electricity, 3533274, 2557007
qap10, 154829, 82641
eil33-2, 235880, 143418
supportcase19, , 28123548
gen-ip002, 10295, 10577
rmatr200-p5, 1107976, 779587
neos-3024952-loue, 148778, 108040
neos-662469, 883039, 723284
supportcase42, 2606243, 2359987
milo-v12-6-r2-40-1, 100005, 98049
dano3_3, 401334, 267627
ex10, 4532341, 5374321
neos-911970, 21128, 16586
mas74, 8054, 9840
thor50dday, 2833394, 1869276
